,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Kampene,-3.6,26.67,62.51,73,9,1.59,CD,1592448715
85,Mashhad,36.3,59.61,77.0,19,0,4.7,IR,1592448715
86,Jati,24.35,68.27,88.3,70,2,14.38,PK,1592448715
87,Daru,-9.08,143.21,80.37,80,65,19.82,PG,1592448434
88,Cap Malheureux,-19.98,57.61,68.0,88,52,8.99,MU,1592448445
89,Albanel,48.88,-72.45,78.8,47,20,10.29,CA,1592448716
90,Omboué,-1.57,9.26,71.64,93,64,3.31,GA,1592448716
91,Albany,42.6,-73.97,73.0,90,50,2.73,US,1592448270
92,Pangnirtung,66.15,-65.71,33.62,90,50,1.16,CA,1592448408
93,Lorengau,-2.02,147.27,85.77,71,12,10.96,PG,1592448275
94,Saint Paul Harbor,57.79,-152.41,51.8,87,90,18.34,US,1592448308
95,Kotma,23.2,81.97,86.16,54,86,15.66,IN,1592448716
96,Gaoual,11.75,-13.2,78.24,87,100,5.3,GN,1592448716
97,Salalah,17.02,54.09,84.2,89,75,4.7,OM,1592448716
98,Bengkulu,-3.8,102.27,84.36,64,67,2.24,ID,1592448157
99,Christchurch,-43.53,172.63,46.99,100,100,8.05,NZ,1592448630
100,Kamina,-8.74,24.99,54.82,68,8,5.21,CD,1592448716
101,Cabo San Lucas,22.89,-109.91,89.6,25,40,18.34,MX,1592448357
102,Lebu,-37.62,-73.65,53.11,81,100,25.05,CL,1592448414
103,Vaini,-21.2,-175.2,75.2,73,20,11.41,TO,1592448336
104,Puerto Ayora,-0.74,-90.35,69.01,92,71,8.7,EC,1592448416
105,Alofi,-19.06,-169.92,77.0,57,40,18.34,NU,1592448414
106,Krutikha,53.96,81.21,62.73,76,100,6.6,RU,1592448716
107,Mount Gambier,-37.83,140.77,57.2,67,87,14.99,AU,1592448455
108,Yar-Sale,66.83,70.83,40.87,66,53,14.43,RU,1592448296
109,Simbahan,6.3,120.58,84.58,71,91,5.75,PH,1592448716
110,Bulgan,48.81,103.53,66.79,52,18,5.57,MN,1592448716
111,Palmer,42.16,-72.33,69.8,68,40,5.82,US,1592448417
112,Rocha,-34.48,-54.33,67.39,84,100,15.75,UY,1592448595
113,San Fernando del Valle de Catamarca,-28.47,-65.79,55.99,70,3,1.01,AR,1592448716
114,Kaitangata,-46.28,169.85,48.0,60,40,8.01,NZ,1592448442
115,Prachuap Khiri Khan,11.82,99.78,80.37,81,100,2.73,TH,1592448716
116,Talnakh,69.49,88.4,42.8,52,100,4.47,RU,1592448416
117,Margate,51.38,1.39,60.01,99,100,1.01,GB,1592448304
118,Broken Hill,-31.95,141.43,60.8,44,0,10.29,AU,1592448443
119,Khovd,48.01,91.64,71.28,34,97,3.85,MN,1592448717
120,Saint-François,46.42,3.91,53.6,81,8,1.12,FR,1592448432
121,Sinnamary,5.38,-52.95,78.19,86,100,5.26,GF,1592448717
122,São Filipe,14.9,-24.5,77.02,76,0,7.61,CV,1592448426
123,Liwale,-9.77,37.93,67.26,67,62,9.26,TZ,1592448717
124,Hong Kong,22.29,114.16,86.0,89,16,3.0,HK,1592448195
125,Culaman,5.96,125.66,86.0,70,75,2.24,PH,1592448717
126,Tocopilla,-22.09,-70.2,63.72,60,0,11.32,CL,1592448717
127,Berlevåg,70.86,29.09,50.18,67,89,8.57,NO,1592448307
128,Khudumelapye,-23.88,24.75,43.48,90,4,7.4,BW,1592448717
129,Flinders,-34.58,150.86,62.01,68,87,1.99,AU,1592448717
130,Shrewsbury,52.71,-2.75,59.0,93,100,3.36,GB,1592448717
131,Fortuna,40.6,-124.16,60.01,87,1,10.29,US,1592448441
132,Monclova,26.9,-101.42,89.01,41,95,1.01,MX,1592448717
133,Inta,66.03,60.17,39.85,72,100,15.61,RU,1592448717
134,Longyearbyen,78.22,15.64,39.2,80,75,4.7,SJ,1592448171
135,Bluff,-46.6,168.33,47.07,63,7,10.78,NZ,1592448411
136,Port Blair,11.67,92.75,84.94,77,99,14.09,IN,1592448717
137,Beidao,34.57,105.89,79.57,40,4,0.65,CN,1592448718
138,Loandjili,-4.76,11.86,70.92,92,5,1.07,CG,1592448718
139,Port Lincoln,-34.73,135.87,62.91,52,100,19.26,AU,1592448459
140,Rūjiena,57.9,25.33,63.86,96,8,3.42,LV,1592448718
141,Vangaindrano,-23.35,47.6,61.74,79,11,2.66,MG,1592448431
142,La Ronge,55.1,-105.28,50.0,71,90,11.41,CA,1592448276
143,Caronport,50.45,-105.82,55.0,90,100,8.99,CA,1592448718
144,Chitungwiza,-18.01,31.08,45.16,94,6,8.46,ZW,1592448718
145,Tura,25.52,90.22,74.77,98,100,7.11,IN,1592448422
146,Tilichiki,60.47,166.1,60.78,56,51,5.91,RU,1592448718
147,Jacmel,18.23,-72.53,80.6,78,94,12.75,HT,1592448718
148,Río Gallegos,-51.62,-69.22,23.0,100,20,4.7,AR,1592448429
149,Elizabeth City,36.29,-76.25,73.4,78,1,9.17,US,1592448718
150,Coquimbo,-29.95,-71.34,50.0,93,43,4.7,CL,1592448458
151,Adrar,20.5,-10.07,92.7,21,14,17.65,MR,1592448278
152,Lake Charles,30.21,-93.2,77.0,83,90,8.05,US,1592448718
153,Miami,25.77,-80.19,78.01,94,90,5.82,US,1592448262
154,Barrow,71.29,-156.79,42.8,70,1,11.41,US,1592448414
155,Zapolyarnyy,69.42,30.81,48.2,76,11,4.7,RU,1592448410
156,Kamyshla,54.12,52.14,61.38,87,8,8.86,RU,1592448718
157,Saint-Philippe,-21.36,55.77,66.2,82,40,10.29,RE,1592448435
158,Ilulissat,69.22,-51.1,35.6,80,0,4.7,GL,1592448306
159,Puerto Nariño,-3.77,-70.38,77.0,100,40,2.24,CO,1592448718
160,Soloneshnoye,51.65,84.32,71.24,49,100,8.25,RU,1592448718
161,Jamestown,42.1,-79.24,71.01,56,1,5.82,US,1592448393
162,Carnarvon,-24.87,113.63,68.0,94,90,14.99,AU,1592448413
163,Cayenne,4.93,-52.33,75.2,100,90,5.75,GF,1592448718
164,Ostrovnoy,68.05,39.51,47.73,70,29,10.51,RU,1592448409
165,Constitución,-35.33,-72.42,53.91,85,100,17.52,CL,1592448420
166,Minsk,53.9,27.57,64.4,72,25,4.47,BY,1592448538
167,Barra Patuca,15.8,-84.28,79.86,87,95,8.55,HN,1592448719
168,Skibbereen,51.55,-9.27,53.6,87,75,11.41,IE,1592448415
169,Baruun-Urt,46.68,113.28,74.03,37,1,11.34,MN,1592448719
170,Leningradskiy,69.38,178.42,51.28,49,100,9.84,RU,1592448435
